date,open,close,high,low,volume
2026-02-12,11.07,10.96,11.08,10.93,68134000.0
2026-02-11,11.06,11.07,11.09,11.02,43104100.0
2026-02-10,11.07,11.06,11.1,11.02,60043000.0
2026-02-09,11.05,11.07,11.11,11.01,61971700.0
2026-02-06,11.08,11.05,11.14,10.99,72771000.0
2026-02-05,10.98,11.09,11.11,10.96,117759100.0
2026-02-04,10.85,10.97,10.98,10.84,69541500.0
2026-02-03,10.89,10.84,10.9,10.77,80662800.0
2026-02-02,10.82,10.86,11.03,10.8,122317300.0
2026-01-30,10.94,10.83,11.03,10.83,109175500.0
2026-01-29,10.84,10.96,10.98,10.66,185299400.0
2026-01-28,10.94,10.84,10.99,10.82,143876600.0
2026-01-27,10.96,10.94,11.03,10.93,89409100.0
2026-01-26,10.98,10.96,11.06,10.92,110624700.0
2026-01-23,11.07,10.99,11.09,10.98,110999400.0
2026-01-22,11.07,11.07,11.15,11.05,78863500.0
2026-01-21,11.15,11.07,11.18,11.06,90012500.0
2026-01-20,11.12,11.16,11.2,11.11,77227600.0
2026-01-19,11.15,11.12,11.21,11.11,80474100.0
2026-01-16,11.34,11.19,11.34,11.16,111947300.0
2026-01-15,11.33,11.31,11.37,11.3,88496000.0
2026-01-14,11.47,11.36,11.47,11.35,127475700.0
2026-01-13,11.48,11.47,11.54,11.44,106154100.0
2026-01-12,11.45,11.48,11.49,11.42,85521300.0
2026-01-09,11.53,11.46,11.53,11.44,98339000.0
2026-01-08,11.64,11.51,11.65,11.49,110008500.0
2026-01-07,11.66,11.64,11.82,11.62,96623600.0
2026-01-06,11.5,11.67,11.68,11.48,130464800.0
2026-01-05,11.42,11.5,11.51,11.41,87549100.0
2025-12-31,11.48,11.41,11.49,11.4,59062000.0
2025-12-30,11.53,11.48,11.56,11.45,58258400.0
2025-12-29,11.54,11.56,11.62,11.5,64829500.0
2025-12-26,11.56,11.54,11.59,11.53,43634000.0
2025-12-25,11.54,11.56,11.62,11.52,54745500.0
2025-12-24,11.55,11.54,11.58,11.49,50524400.0
2025-12-23,11.52,11.56,11.6,11.5,66626600.0
2025-12-22,11.61,11.52,11.61,11.51,74236900.0
2025-12-19,11.63,11.62,11.65,11.58,64988600.0
2025-12-18,11.51,11.64,11.65,11.48,79046700.0
2025-12-17,11.47,11.53,11.58,11.42,70149500.0
2025-12-16,11.49,11.48,11.55,11.44,64735100.0
2025-12-15,11.34,11.51,11.54,11.33,94083300.0
2025-12-12,11.37,11.35,11.43,11.3,119189500.0
2025-12-11,11.35,11.37,11.39,11.3,92526100.0
2025-12-10,11.44,11.33,11.46,11.29,104406500.0
2025-12-09,11.52,11.43,11.54,11.43,73395700.0
2025-12-08,11.49,11.52,11.6,11.48,85589900.0
2025-12-05,11.49,11.53,11.54,11.4,89076600.0
2025-12-04,11.55,11.49,11.58,11.46,88609000.0
2025-12-03,11.64,11.55,11.7,11.54,94460100.0
2025-12-02,11.68,11.64,11.73,11.59,76806000.0
2025-12-01,11.6,11.69,11.7,11.53,103732300.0
2025-11-28,11.67,11.61,11.68,11.58,88435800.0
2025-11-27,11.66,11.71,11.71,11.58,101184700.0
2025-11-26,11.81,11.69,11.85,11.65,82130100.0
2025-11-25,11.61,11.8,11.8,11.58,102808100.0
2025-11-24,11.7,11.6,11.73,11.6,111711900.0
2025-11-21,11.8,11.69,11.88,11.66,146535900.0
2025-11-20,11.79,11.85,11.99,11.74,163704000.0
2025-11-19,11.58,11.8,11.83,11.57,133499600.0
2025-11-18,11.65,11.59,11.69,11.57,67007700.0
2025-11-17,11.75,11.67,11.75,11.62,99523300.0
2025-11-14,11.67,11.75,11.84,11.66,131699500.0
2025-11-13,11.68,11.7,11.72,11.57,97899100.0
2025-11-12,11.7,11.68,11.79,11.65,114132500.0
2025-11-11,11.62,11.67,11.69,11.57,88650900.0
2025-11-10,11.52,11.63,11.64,11.45,82720800.0
2025-11-07,11.52,11.55,11.58,11.5,73485100.0
2025-11-06,11.5,11.51,11.58,11.47,76658500.0
2025-11-05,11.59,11.52,11.6,11.5,79492600.0
2025-11-04,11.42,11.59,11.64,11.4,150300700.0
2025-11-03,11.34,11.43,11.44,11.3,95232600.0
2025-10-31,11.38,11.32,11.4,11.3,97019300.0
2025-10-30,11.38,11.38,11.47,11.36,94377000.0
2025-10-29,11.46,11.39,11.46,11.36,96621400.0
2025-10-28,11.53,11.47,11.58,11.42,82156800.0
2025-10-27,11.54,11.52,11.61,11.44,123948500.0
2025-10-24,11.6,11.56,11.68,11.55,98047500.0
2025-10-23,11.52,11.63,11.71,11.5,137311200.0
2025-10-22,11.4,11.52,11.54,11.4,83370300.0
2025-10-21,11.4,11.43,11.47,11.39,76116500.0
2025-10-20,11.41,11.42,11.45,11.27,95264100.0
2025-10-17,11.5,11.4,11.58,11.38,103966600.0
2025-10-16,11.38,11.54,11.55,11.36,126193700.0
2025-10-15,11.34,11.4,11.42,11.26,127106100.0
2025-10-14,11.154,11.334,11.364,11.124,184342800.0
2025-10-13,11.084,11.164,11.224,11.044,116880200.0
2025-10-10,11.134,11.194,11.254,11.124,108794800.0
2025-10-09,11.094,11.164,11.174,11.034,104746900.0
2025-09-30,11.134,11.104,11.134,11.054,83247900.0
2025-09-29,11.164,11.134,11.244,11.034,117601200.0
2025-09-26,11.154,11.164,11.204,11.084,75323900.0
2025-09-25,11.194,11.164,11.234,11.124,77327600.0
2025-09-24,11.274,11.224,11.384,11.194,113958300.0
2025-09-23,11.134,11.284,11.344,11.084,134143000.0
2025-09-22,11.204,11.144,11.234,11.134,59640200.0
2025-09-19,11.174,11.214,11.274,11.134,83465100.0
2025-09-18,11.414,11.174,11.424,11.144,138616000.0
2025-09-17,11.404,11.404,11.434,11.344,77112900.0
2025-09-16,11.424,11.404,11.474,11.374,70804800.0
2025-09-15,11.464,11.414,11.484,11.394,84038700.0
2025-09-12,11.594,11.484,11.644,11.464,94038500.0
2025-09-11,11.534,11.614,11.614,11.474,96393200.0
2025-09-10,11.504,11.534,11.554,11.474,79266800.0
2025-09-09,11.474,11.514,11.544,11.444,86053900.0
2025-09-08,11.474,11.464,11.544,11.434,92443100.0
2025-09-05,11.494,11.484,11.504,11.394,81966200.0
2025-09-04,11.524,11.504,11.534,11.364,129530000.0
2025-09-03,11.744,11.514,11.774,11.504,136723200.0
2025-09-02,11.614,11.744,11.754,11.604,149271600.0
2025-09-01,11.814,11.654,11.814,11.614,185845900.0
